Current St #,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Year Current Building Built
185,"Goodall & Phillips, Milliners & Dressmakers",,Ballantyne & Co. Grocers,"Guildford Bee Co. Martin Pickett, Manager","Guildford Bee Co. Martin Pickett, Manager",,,Guildford Bec Co. (C. Jecks),,,,,A Krakour. Clothier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kakulas Bros., grocer",Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,Kakulas Bros,,,,,,,,,,,,,,Kakulas Bros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
off 185/185a,"William Young, Tailor",,"William Young, Tailor","William Young, Tailor",,,,William Young.Tailor,,,,,"S Cohen, Tailor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185b,,,,,,,,Cooper & Sellin. Painters,,,,,W H Cooper Painter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,J Pozzi. Wine Saloon,"Pedretti Peter, Wine Saloon","Lilly Positti, Wine Saloon","Rosmanish Romeo, Wine Saloon","Rosmanish Romeo, Wine Saloon","Mrs T. Rosmanich, Wine Saloon",,Victor Tomic. Wine Saloon,,,,,Mrs E Cousins Wine Saloon,,,,,,,,,,"Tobacconist. Beckman, M L, dlr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934
187,Mrs A. E. Bevan,,Jas Foster. Oil &Color merchant,"Jas. Foster, Oil & Colour Merchant","William Young, Tailor
Jas. Foster, Oil &Colour Merchant",,,A Passaris. Oyster Saloon,,,,,A Passaris. Oyster Saloon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dimanoff Andrea V, fish monger ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Old Saigon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Ceaser & Beel. Confers,,,Lawson Miss V. refshmt. rooms,,"M. A. Daniels, Furniture Mart",,William Hooper. Watch Makers,,,,,Walters and Struck - Hairdresser and Tobacconist,,,,,,,,,,"Thomas, R J, tobcnst",,,,,,,,,,,,,,,,,,,"Washington All Cafe The, rstnt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Romany Restaurant,,"Perth Hostel,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934
189,Harry T Dermer. Stationer,,Harry T Dermer. Stationer,"Harry T. Dermer, Stationer","Harry T. Dermer, Stationer",,,Harry T Dermer. Stationer,,,,,Harry T Dermer. Stationer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dermer's Newsagency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newsagency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189 - Shop 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boxhorn & Wilson Watchmakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beans & Bunches,,,,
189 - Shop 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?Regalia Craft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gfted Flagship Store,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stefan Spanish Casa Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is Donburi,Is Donburi,Is Donburi,
