street_number,latitude,longitude,name_and_business,icon,
368,-31.94525067,115.8619067,368   M:1,bar,
370,-31.9453465,115.8622288,370   M:1,bar,
371,-31.94490529,115.8617602,371   M:1,bar,
372,-31.94516584,115.8619659,372   M:1,bar,
373,-31.94475615,115.8614886,373   M:1,bar,
374,-31.94524561,115.8622785,374   M:1,bar,
375,-31.94445587,115.8613931,375   M:1,bar,
376,-31.94502361,115.8620348,376   M:1,bar,
377,-31.94479557,115.8617859,377   M:1,bar,
378,-31.94517546,115.8623372,378   M:1,bar,
379,-31.94459246,115.8615534,379   M:1,bar,
380,-31.94494255,115.8621159,380   M:1,bar,
381,-31.94435912,115.8615262,381   M:1,bar,
382,-31.94503476,115.8624297,382   M:1,bar,
383,-31.94459605,115.861795,383   M:1,bar,
384,-31.94492482,115.8623108,384   M:1,bar,
385,-31.94443883,115.8617009,385   M:1,bar,
386,-31.94484635,115.8621762,386   M:1,bar,
387,-31.94450773,115.8618146,387   M:1,bar,
388,-31.94488685,115.8625181,388   M:1,bar,
389,-31.94461451,115.8619566,389   M:1,bar,
390,-31.94474722,115.8622209,390   M:1,bar,
391,-31.94448515,115.861924,391   M:1,bar,
392,-31.94477952,115.8623938,392   M:1,bar,
393,-31.9444653,115.8620602,393   M:1,bar,
394,-31.94462709,115.8622517,394   M:1,bar,
395,-31.94432963,115.8617892,395   M:1,bar,
396,-31.94467989,115.8623864,396   M:1,bar,
397,-31.94431133,115.8619698,397   M:1,bar,
398,-31.94477292,115.8625819,398   M:1,bar,
399,-31.94421291,115.8618797,399   M:1,bar,
400,-31.94445611,115.862394,400   M:1,bar,
401,-31.94432169,115.8621312,401   M:1,bar,
402,-31.94458595,115.8626655,402   M:1,bar,
403,-31.94422569,115.8621229,403   M:1,bar,
404,-31.94441523,115.8624706,404   M:1,bar,
405,-31.94415253,115.8620511,405   M:1,bar,
406,-31.94446317,115.8626812,406   M:1,bar,
407,-31.94414083,115.8621828,407   M:1,bar,
408,-31.94431968,115.8625516,408   M:1,bar,
409,-31.94400546,115.8620094,409   M:1,bar,
410,-31.94442476,115.8628137,410   M:1,bar,
411,-31.94401476,115.8621415,411   M:1,bar,
412,-31.94419035,115.8625533,412   M:1,bar,
413,-31.94410309,115.8622781,413   M:1,bar,
414,-31.94425214,115.8628364,414   M:1,bar,
415,-31.94394138,115.8621929,415   M:1,bar,
416,-31.94404216,115.8626706,416   M:1,bar,
417,-31.94397894,115.8623019,417   M:1,bar,
418,-31.94407336,115.862758,418   M:1,bar,
419,-31.9438381,115.8621986,419   M:1,bar,
420,-31.94415103,115.862895,420   M:1,bar,
421,-31.94392889,115.8623776,421   M:1,bar,
422,-31.94395877,115.8626948,422   M:1,bar,
